,word,freq,likes,rt,reply,quotes
133,acontecer,36,904.0,16.0,35.0,3.0
134,chamar,36,250.0,107.0,37.0,22.0
135,pegar,36,132.0,9.0,36.0,4.0
136,vcs,36,191.0,54.0,36.0,3.0
137,lembrar,36,196.0,3.0,55.0,0.0
138,dio,36,,,,
139,morrer,36,140.0,2.0,32.0,4.0
140,favor,36,65.0,6.0,14.0,1.0
141,tempo,35,2701.0,329.0,169.0,22.0
142,procurar,35,178.0,35.0,45.0,2.0
143,tomar,35,603.0,50.0,107.0,8.0
144,noite,35,140.0,29.0,37.0,0.0
145,vidar,34,352.0,14.0,68.0,1.0
146,taxar,34,156.0,5.0,48.0,0.0
147,resolver,33,152.0,14.0,57.0,1.0
148,atendimento,33,96.0,14.0,29.0,0.0
149,pois,33,213.0,11.0,39.0,2.0
150,agr,33,63.0,4.0,26.0,2.0
151,opção,33,100.0,15.0,40.0,0.0
152,cair,33,212.0,47.0,32.0,3.0
153,esquecer,33,1176.0,49.0,35.0,5.0
154,preço,33,221.0,49.0,50.0,5.0
155,vezar,33,63.0,184.0,33.0,0.0
156,lucasbissoli,33,,,,
157,merda,32,141.0,2424.0,21.0,2.0
158,gostar,32,135.0,74.0,39.0,5.0
159,delivery,32,129.0,45.0,39.0,3.0
160,foder,32,1364.0,202.0,34.0,1.0
161,kkkk,31,99.0,7.0,42.0,1.0
162,nenhum,31,305.0,28.0,44.0,3.0
163,então,31,239.0,63.0,77.0,3.0
164,comigo,30,630.0,11.0,33.0,0.0
165,aberto,30,59.0,3.0,16.0,0.0
166,pqp,30,192.0,47.0,38.0,4.0
167,li_cerq,30,,,,
168,triste,29,40.0,1.0,22.0,0.0
169,outro,29,341.0,96.0,63.0,2.0
170,umar,29,8222.0,15087.0,799.0,74.0
171,descobrir,29,108.0,10.0,29.0,2.0
172,empresar,29,1211.0,66.0,38.0,3.0
173,manhã,29,368.0,127.0,47.0,6.0
174,amor,29,78.0,1.0,17.0,0.0
175,tirar,28,1481.0,160.0,58.0,7.0
176,feliz,28,69.0,3.0,37.0,2.0
177,nesse,28,204.0,60.0,34.0,0.0
178,col,28,,,,
179,cansar,27,8.0,3.0,9.0,0.0
180,começar,27,99.0,7.0,26.0,3.0
181,comeguriaprime,27,0.0,0.0,0.0,0.0
182,grát,27,,,,
183,dormir,27,116.0,4.0,29.0,2.0
184,pix,27,59.0,43.0,21.0,0.0
185,motoboy,27,517.0,395.0,46.0,5.0
186,amigar,26,83.0,125.0,20.0,4.0
187,roubar,26,298.0,113.0,57.0,8.0
188,morar,26,65.0,9.0,20.0,1.0
189,escolher,26,265.0,134.0,70.0,21.0
190,puta,26,76.0,0.0,21.0,0.0
191,demorar,26,194.0,3.0,31.0,1.0
192,pago,26,31.0,4.0,15.0,0.0
193,existir,26,105.0,8.0,22.0,1.0
194,nobru,26,2.0,0.0,1.0,0.0
195,reclamar,25,192.0,878.0,37.0,1.0
196,levar,25,374.0,185.0,140.0,35.0
197,tipo,25,138.0,201.0,23.0,4.0
198,muito,25,1115.0,212.0,222.0,22.0
199,desde,25,13.0,0.0,17.0,1.0
200,rolar,25,88.0,42.0,14.0,2.0
201,alô,25,35.0,7.0,10.0,0.0
202,jogar,25,305.0,9.0,60.0,5.0
203,cerolzera,25,,,,
204,ano,24,2738.0,638.0,160.0,19.0
205,acordar,24,44.0,1.0,24.0,3.0
206,aceitar,24,1107.0,69.0,41.0,1.0
207,perder,24,90.0,41.0,29.0,0.0
208,ruim,24,110.0,9.0,28.0,3.0
209,mínimo,24,90.0,6.0,22.0,0.0
210,nome,24,134.0,14.0,43.0,5.0
211,minuto,24,88.0,1.0,29.0,0.0
212,domingo,24,76.0,4.0,26.0,0.0
213,caralho,24,93.0,8.0,18.0,1.0
214,valer,23,143.0,32.0,24.0,1.0
215,namorar,23,2518.0,4886.0,238.0,36.0
216,sobrar,23,155.0,242.0,47.0,1.0
217,criar,23,516.0,4868.0,65.0,1.0
218,chocolate,23,283.0,46.0,33.0,4.0
219,nessa,23,81.0,26.0,30.0,4.0
220,onde,23,394.0,98.0,73.0,8.0
221,menos,23,166.0,5.0,39.0,0.0
222,falir,23,120.0,9.0,30.0,2.0
223,logo,22,58.0,509.0,11.0,0.0
224,mundo,22,171.0,2505.0,35.0,4.0
225,igual,22,118.0,140.0,34.0,3.0
226,bora,22,151.0,16.0,20.0,0.0
227,aplicativo,22,128.0,7.0,30.0,0.0
228,golpe,22,2244.0,437.0,76.0,13.0
